No,date,open,high,low,close,volume
207,02/03/2020,143.03,150.04,140.83,149.92,492907
208,03/03/2020,150.72,151.84,140.79,142.74,519978
209,04/03/2020,146.18,148.11,143.7,147.98,345991
210,05/03/2020,144.05,148.26,143.76,144.26,338556
211,06/03/2020,141.09,141.52,135.35,140.19,529565
212,09/03/2020,130.6,136.88,130.15,130.69,526344
213,10/03/2020,137.2,139.72,132.39,139.62,473204
214,11/03/2020,136.48,136.83,131.15,133.3,415369
215,12/03/2020,126.55,133.16,120.24,120.66,676230
216,13/03/2020,128.01,140.48,122.11,137.81,640609
217,16/03/2020,121.47,129.59,117.13,117.5,637862
218,17/03/2020,121.65,127.98,117.13,127.17,596763
219,18/03/2020,119.15,126.68,117.15,121.82,609015
220,19/03/2020,123.8,130.28,120.6,123.82,596696
221,20/03/2020,126.68,127.63,117.95,119.17,617620
222,23/03/2020,118.9,121.97,114.98,117.98,583398
223,24/03/2020,124.85,129.8,122.58,128.71,595073
224,25/03/2020,128.85,133.9,125.32,127.47,537130
225,26/03/2020,128.78,135.93,128.5,135.45,447523
226,27/03/2020,131.67,134.39,129.46,129.89,397673
227,30/03/2020,132.25,139.35,130.16,139.03,470594
228,31/03/2020,138.42,142.97,135.84,136.84,557204
229,01/04/2020,132.74,136.88,130.86,131.98,422853
230,02/04/2020,131.76,134.9,130.46,134.71,369317
231,03/04/2020,134.67,136.55,132.05,133.47,295982
232,06/04/2020,139.07,144.47,136.73,143.4,468190
233,07/04/2020,147.15,147.5,141.66,141.85,466975
234,08/04/2020,143.75,144.61,141.86,143.28,368263
235,09/04/2020,144.34,145.22,141.71,143.29,388028
236,13/04/2020,142.6,143.66,140.82,143.61,318934
237,14/04/2020,146.63,150.75,145.77,150.71,385577
238,15/04/2020,148.27,150.6,146.84,149.13,301190
239,16/04/2020,151.23,153.82,150.02,153.61,364706
240,17/04/2020,155.75,156.18,152.59,154.97,386865
241,20/04/2020,153.26,155.09,151.83,151.89,275002
242,21/04/2020,150.49,150.69,144.13,145.61,418373
243,22/04/2020,148.72,150.97,148.21,150.56,247569
244,23/04/2020,151.09,151.89,148.29,148.73,243862
245,24/04/2020,149.29,151.46,148.12,151.45,252486
246,27/04/2020,153.28,153.49,150.36,151.02,250734
247,28/04/2020,152.27,152.42,146.97,147.34,247793
248,29/04/2020,150.29,154.17,149.13,153.95,328168
249,30/04/2020,156.18,156.53,152.91,155.49,393452
250,01/05/2020,152.52,155,150.98,151.47,291316
251,04/05/2020,151.4,155.31,150.8,155.17,233042
252,05/05/2020,156.74,159.35,156.09,156.84,288159
253,06/05/2020,158.08,159.82,157.6,158.38,258350
254,07/05/2020,159.82,160.13,158.42,159.3,208638
255,08/05/2020,160.4,160.52,159.09,160.24,217015
256,11/05/2020,158.84,162.7,158.65,162.03,203544
257,12/05/2020,162.16,162.29,158.17,158.36,225386
258,13/05/2020,158.28,159.69,153.18,155.96,331356
259,14/05/2020,154.07,156.78,152.43,156.64,296143
260,15/05/2020,155.41,162.31,153.58,158.92,324113
261,18/05/2020,161,161.56,159.62,160.44,263743
262,19/05/2020,160.52,161.91,159.21,159.33,201514
263,20/05/2020,160.8,161.71,160.04,161.54,222922
264,21/05/2020,161.3,162.42,159.48,159.6,222983
265,22/05/2020,159.43,160.5,158.82,159.67,158609
266,26/05/2020,162.13,162.27,157.57,157.98,244861
267,27/05/2020,156.65,158.34,153.66,158.19,270949
268,28/05/2020,157.31,160.22,156.95,157.83,233366
269,29/05/2020,159,160.33,156.97,159.44,258263
270,01/06/2020,158.67,159.23,157.88,159.08,170580
271,02/06/2020,160.28,160.97,157.79,160.89,209474
272,03/06/2020,160.82,161.78,159.73,161.28,194441
273,04/06/2020,160.43,161.7,158.62,159.16,206171
274,05/06/2020,158.85,163.34,158.36,162.88,291517
275,08/06/2020,161.65,164.05,160.48,163.89,231327
276,09/06/2020,163.59,165.92,162.93,165.14,221727
277,10/06/2020,166.27,172.73,166.19,171.27,339404
278,11/06/2020,168.15,170.33,161.89,162.07,382898
279,12/06/2020,165.74,166.81,161.12,163.35,304435
280,15/06/2020,160.66,166.03,160.1,164.39,236970
281,16/06/2020,167.83,170.17,166.58,168.42,311693
282,17/06/2020,169.74,170.81,168.52,169,189169
283,18/06/2020,168.95,170.96,168.8,170.81,165465
284,19/06/2020,172.53,173.4,169.12,169.8,308615
285,22/06/2020,170.19,174.68,169.87,174.51,226918
286,23/06/2020,175.81,177.45,175.25,175.68,233866
287,24/06/2020,175.57,176.84,171.02,172.14,251668
288,25/06/2020,172.09,174.55,170.07,174.31,199682
289,26/06/2020,173.81,173.92,169.56,170.82,305809
290,29/06/2020,170.33,172.74,168.4,172.66,184209
291,30/06/2020,172.17,177.84,172.05,177.07,221612
292,01/07/2020,176.63,179.54,175.55,178.1,221951
293,02/07/2020,178.98,180.99,178.37,179.46,211628
294,06/07/2020,181.59,183.7,181.05,183.32,220730
295,07/07/2020,183.28,186.78,180.98,181.19,238109
296,08/07/2020,182.78,185.55,181.58,185.18,235661
297,09/07/2020,188.26,188.28,183.99,186.48,239128
298,10/07/2020,185.76,186.26,183.66,185.91,194762
299,13/07/2020,186.61,187.76,179.67,180.17,265717
300,14/07/2020,179.77,181.72,175.78,181.28,258932
301,15/07/2020,182.52,183.87,178.39,181.01,224004
302,16/07/2020,178.64,178.98,176.03,177.43,214417
303,17/07/2020,177.89,178.4,175.23,176.52,224999
304,20/07/2020,178.37,184.72,176.63,184.11,253746
305,21/07/2020,186.07,186.15,181,181.63,268503
306,22/07/2020,181.96,184.72,181.32,184.24,324217
307,23/07/2020,180.2,183.52,175.92,176.22,489369
308,24/07/2020,174.38,176.51,171.85,175.15,292120
309,27/07/2020,175.3,177.47,174.77,177.36,202411
310,28/07/2020,177.04,178.1,175.53,175.77,166980
311,29/07/2020,176.18,178.06,175.76,177.55,144624
312,30/07/2020,174.86,177.89,173.64,177.41,179934
313,31/07/2020,177.84,178.45,173.15,178.38,345030
314,03/08/2020,184.06,189.36,183.1,188.41,582148
315,04/08/2020,186.4,186.87,182.99,185.58,331945
316,05/08/2020,186.97,187.07,184.08,185.27,190834
317,06/08/2020,184.79,188.27,184.06,188.24,234122
318,07/08/2020,186.91,187.68,183.53,184.88,183450
319,10/08/2020,184.17,184.35,179.54,181.19,237062
320,11/08/2020,180.24,180.67,176.75,176.96,226265
321,12/08/2020,178.61,182.96,178.15,182.01,195550
322,13/08/2020,182.2,183.89,181.11,181.58,161814
