,date,open,high,low,close,volume
151,2019-12-09,58.48,58.64,57.37,57.80,969403.0
152,2019-12-10,58.17,58.48,57.57,58.14,700836.0
153,2019-12-11,58.21,58.71,58.15,58.64,585778.0
154,2019-12-12,58.00,59.02,57.89,58.79,1077982.0
155,2019-12-13,58.79,59.62,58.67,59.58,1032621.0
156,2019-12-16,59.99,60.81,59.98,60.60,848231.0
157,2019-12-17,60.59,61.02,60.47,60.72,744089.0
158,2019-12-18,60.59,61.05,60.44,60.58,735082.0
159,2019-12-19,60.53,60.89,60.41,60.64,596790.0
160,2019-12-20,61.12,61.21,60.32,60.51,985390.0
161,2019-12-23,60.77,61.56,60.71,61.50,626780.0
162,2019-12-24,61.61,61.70,61.27,61.56,318183.0
163,2019-12-26,61.68,62.80,61.65,62.78,706943.0
164,2019-12-27,63.05,63.66,62.39,62.76,1139940.0
165,2019-12-30,62.69,63.38,61.77,63.13,1140644.0
166,2019-12-31,62.78,63.60,62.69,63.59,741234.0
167,2020-01-02,64.15,65.10,63.93,65.04,1042160.0
168,2020-01-03,64.34,65.09,64.21,64.41,1087913.0
169,2020-01-06,63.62,64.96,63.40,64.92,918822.0
170,2020-01-07,64.94,65.16,64.42,64.62,790019.0
171,2020-01-08,64.35,65.93,64.35,65.66,1008324.0
172,2020-01-09,66.53,67.23,66.31,67.05,1361584.0
173,2020-01-10,67.27,67.71,66.75,67.20,1131287.0
174,2020-01-13,67.50,68.66,67.38,68.64,951303.0
175,2020-01-14,68.58,68.77,67.60,67.71,1247553.0
176,2020-01-15,67.53,68.32,67.03,67.42,946447.0
177,2020-01-16,67.91,68.37,67.59,68.26,776972.0
178,2020-01-17,68.48,69.02,68.21,69.02,964589.0
179,2020-01-21,68.65,69.08,68.43,68.55,738970.0
180,2020-01-22,69.01,69.29,68.72,68.80,767294.0
181,2020-01-23,68.83,69.20,68.36,69.13,663511.0
182,2020-01-24,69.33,70.02,68.76,68.93,1147293.0
183,2020-01-27,67.14,67.52,66.02,66.90,1163698.0
184,2020-01-28,67.65,68.95,67.61,68.79,1028069.0
185,2020-01-29,70.28,70.99,69.60,70.24,1712885.0
186,2020-01-30,69.41,70.18,69.03,70.14,948179.0
187,2020-01-31,69.50,69.88,66.76,67.02,1500544.0
188,2020-02-03,65.89,67.89,65.45,66.84,1342102.0
189,2020-02-04,68.31,69.22,67.92,69.05,987104.0
190,2020-02-05,70.06,70.33,69.07,69.61,896756.0
191,2020-02-06,69.82,70.42,69.35,70.42,723632.0
192,2020-02-07,69.97,70.20,69.03,69.47,894218.0
193,2020-02-10,68.20,69.80,68.12,69.80,780931.0
194,2020-02-11,70.21,70.31,69.18,69.38,707183.0
195,2020-02-12,69.80,71.03,69.78,71.03,783592.0
196,2020-02-13,70.39,70.81,70.19,70.52,692431.0
197,2020-02-14,70.48,70.76,70.08,70.53,579037.0
198,2020-02-18,68.45,69.41,68.29,69.24,1066058.0
199,2020-02-19,69.47,70.45,69.46,70.25,616652.0
200,2020-02-20,70.03,70.47,69.07,69.53,740640.0
201,2020-02-21,69.10,69.56,67.40,67.95,937061.0
202,2020-02-24,64.48,66.03,62.78,64.72,1545238.0
203,2020-02-25,65.34,65.67,62.11,62.53,1680100.0
204,2020-02-26,62.23,64.66,62.19,63.52,1500341.0
205,2020-02-27,61.02,62.08,59.25,59.37,2348466.0
206,2020-02-28,55.84,60.43,55.65,59.34,3062356.0
207,2020-03-02,61.27,65.43,60.28,64.86,2560140.0
208,2020-03-03,65.92,65.99,62.04,62.80,2403327.0
209,2020-03-04,64.35,65.86,63.63,65.71,1650690.0
210,2020-03-05,64.15,65.02,63.26,63.58,1399027.0
211,2020-03-06,61.19,63.13,61.05,62.74,1675045.0
212,2020-03-09,57.21,60.36,57.09,57.78,2124660.0
213,2020-03-10,60.16,62.18,58.47,61.94,2116583.0
214,2020-03-11,60.21,61.04,59.01,59.78,1934923.0
215,2020-03-12,55.57,58.61,53.83,53.88,3099186.0
216,2020-03-13,57.50,60.76,54.91,60.34,2678656.0
217,2020-03-16,52.50,56.24,52.10,52.58,2349275.0
218,2020-03-17,53.72,55.92,51.75,54.89,2453813.0
219,2020-03-18,52.04,54.27,51.47,53.54,2199067.0
220,2020-03-19,53.71,54.88,52.66,53.13,2017778.0
221,2020-03-20,53.65,54.66,49.49,49.76,2596908.0
222,2020-03-23,49.51,49.60,46.15,48.70,2470693.0
223,2020-03-24,51.40,53.76,50.86,53.59,2122638.0
224,2020-03-25,54.46,56.06,53.03,53.29,2209666.0
225,2020-03-26,53.51,56.15,53.48,56.10,1779831.0
226,2020-03-27,54.86,55.54,53.63,53.78,1500940.0
227,2020-03-30,54.38,55.46,54.14,55.31,1256303.0
228,2020-03-31,55.49,56.98,54.70,55.20,1375162.0
229,2020-04-01,53.52,53.99,51.91,52.30,1278471.0
230,2020-04-02,52.15,53.22,51.42,53.17,1282482.0
231,2020-04-03,52.72,53.33,51.87,52.40,971363.0
232,2020-04-06,54.46,57.11,54.13,56.97,1406209.0
233,2020-04-07,58.78,58.98,56.22,56.31,1559626.0
234,2020-04-08,57.03,58.04,56.70,57.76,1172547.0
235,2020-04-09,58.43,58.62,57.46,58.17,1226056.0
236,2020-04-13,58.24,59.41,57.70,59.31,980789.0
237,2020-04-14,60.78,62.57,60.35,62.31,1414000.0
238,2020-04-15,61.29,62.15,60.92,61.74,910019.0
239,2020-04-16,62.36,62.56,61.29,62.23,1143939.0
240,2020-04-17,61.81,62.29,60.10,61.38,1533858.0
241,2020-04-20,60.29,61.14,60.10,60.11,925099.0
242,2020-04-21,59.97,60.18,57.62,58.26,1253348.0
243,2020-04-22,59.37,60.32,59.08,59.93,841656.0
244,2020-04-23,59.88,61.16,59.67,59.70,897691.0
